example_sentence_sourashtra,example_sentence_english,example_sentence_tamil
ஸௌலாம் 4 ர்ஹீ 5 குத்சல்னு ஸிங்கா3ர் ர்ஹாயி,4 to 5 pleats on the sari will look beautiful,புடவையில் 4 முதல் 5 மடிப்புகள் அழகாக இருக்கும்
"ஹொராடு3 கௌஸுலொ ரூ 2,000 ர்ஹீ அப்3ப3ரஸி","Wedding silk sarees are available from Rs. 2,000","திருமண பட்டுப் புடவைகள் ரூ. 2,000 முதல் கிடைக்கின்றன"
அத்தொ அஸ்கி கொன்னி பெ3ட்கின் ந்ஹன்ஸுலொ பி2ல்லரானி,None of the women these days wear half sarees,இன்றைய காலத்தில் எந்த பெண்களும் தாவணி அணிவதில்லை
கிடா3னு தொகன் கௌஸொ உத்பத்தி ஹோஸு,Silk is made from silkworms,பட்டுப்புழுக்களில் இருந்து பட்டு தயாரிக்கப்படுகிறது
கொவ்ஸா உத்பத்திம் ரமாரமி 90% மல்பெ3ரி கொவ்ஸொ ஹோஸு,About 90% of silk production is mulberry silk,பட்டு உற்பத்தியில் சுமார் 90% மல்பெரி பட்டு ஆகும்
கஞ்சிகின் கஸி பஷுதுக் நாவ் பொட3யொ,Kanchi and Banaras are famous for silk,காஞ்சி மற்றும் காசி பட்டுக்கு பிரபலமானது
ஸூரத்கின் கஞ்சி கெண்டா3 ஸவ்லாக் நாவ் பொட3யொ,Surat and Kanji are popular for sari with silk lace,சூரத் மற்றும் காஞ்சி ஆகியவை ஜரிகை புடவைக்கு பிரபலமானவை
ஸௌராஷ்டிரர்னு ஜுன்ன பஸுடு3 ஸௌலொ வினத்தெமாம் நாவ் பொடா3த்தெனு,Sourashtrians are popular for weaving pure silks,சௌராஷ்டிரர்கள் தூய பட்டு நெசவு செய்வதில் பிரபலமானவர்கள்
ஶால்வொ ஸிங்க்கா3ருக் க4ல்லஸுனு,The shawl is worn for beauty,சால்வை அழகுக்காக அணியப்படுகிறது
கானும் ஸில்லொ வரொ ஜானாத்தக் ஶாது3 கப3ட3ஸு,The muffler protects cold air from entering the ear,காதுக்குள் குளிர்ந்த காற்று செல்லாமல் கழுத்துப்பட்டை பாதுகாக்கிறது
போஞ்சோ மெந்த மெக்ஸிகோம் க4ல்லரியொ லம்பு3 ஷாலு,Poncho is a long shawl worn in Mexico,போஞ்சோ என்பது மெக்சிகோவில் அணியும் நீண்ட சால்வை
உத்தரு பா4ரதுவாஸின் மொஞ்சுகலமு ராங்க3வ் தய்லனு,North Indians wear shawls in winter,வட இந்தியர்கள் குளிர்காலத்தில் சால்வை அணிவார்கள்
பா4ரத் பூராகு 6 கெ3ஜு ஸௌலானுஸ் பி2ல்லஸுனு,People all over India wear 6 yards sarees,இந்தியா முழுவதும் 6 கெஜம் புடவைகளையே உடுத்துகிறார்கள்
கௌஸுலா கெக3ர்கின் பொத3ர் ஒண்ட்டே வனிம் ர்ஹாயி,The border and pallu of a silk saree are in single color,பட்டுப் புடவையின் கரை மற்றும் முந்தானை ஒற்றை நிறத்தில் இருக்கும்
ஸௌலா ர்ஹுந்தி3 47 ர்ஹீ 50 போ3ட் லெந்து ர்ஹாயி,The width of the saree is 47 to 50 inches,சேலையின் அகலம் 47 முதல் 50 அங்குலம் வரை இருக்கும்
"தெ3ய்டா3 காம் ஸெர சொவ்ளி ஸிவத்தக் ரூ. 5,000 லெந்து வேஸ் ஹோஸு","It costs Rs 5,000 to sew a blouse with stonework","கல் வேலை கொண்ட ரவிக்கை தைக்க ரூ.5,000 வரை செலவாகும்"
"கொ3வ்ணம் 6, 7 ந்ஹீஜியெத் 8 பா4கு3னும் அவஸு","Inner parts come in 6, 7 or 8 parts","பாவாடைகள் 6, 7 அல்லது 8 பகுதிகளாக வருகின்றன"
கொ3வ்ணமுக் உட்சி ப4ந்த3த்தக் நாடொ3 நுக3ஸு,The strap is used to tighten the skirt,பாவாடையை இழுத்துக்கட்ட நாடா பயன்படுகிறது
பொர்க்யாடு3ம் நங்க்3னாருன் அங்கு3ன் கஷ்டிபொ3ட்டொ பி2ல்லராஸி,Farmers in the villages still wear loin cloth,கிராமங்களில் விவசாயிகள் இன்றும் கோவணம் கட்டுகிறார்கள்
குட்கான் ஹந்த3வ் தௌரமும் மொஸுரா பொ3ட்டொகன் ப்ரயோக்3 ஹோஸு,Saree pieces are used as kitchen towel,சேலைத் துண்டுகள் சமையலறை கைப்பிடி துணியாக பயன்படுகின்றன
து3ர்ப3ளுன் ப2ட்கொ ஸௌலொ மெல்லொ பி2ல்லஸுன்,Poor women even wear torn sarees,ஏழைப் பெண்கள் கிழிந்த சேலையைக் கூட அணிவார்கள்
த4வ்ரொ ந்ஹாத்த கா3மு ஜிவன் ஹோனா,Don't live in a town without a temple,கோவில் இல்லாத ஊரில் குடியிருக்க வேண்டாம்
